11;2003;24;Photowatt;PW 1000 /  100W;1;SMA;Sunny Boy 2500;2400;22;15;SUNWATT;3357;43.78;5.52;France;84240;La Motte d'Aigues;Provence Alpes Cote d'Azur;Vaucluse
1;2009;16;BP Solar;BP 3165S;1;Fronius;IG 30;2640;20;40;Bourgogne Solaire;2798;47.48;3.92;France;89200;Avallon;Bourgogne Franche Comte;Yonne
10;2005;15;CONERGY;160 Profiline;1;Fronius;IG 15;2400;18;30;Janex;2428;45.49;6.04;France;73800;Francin;Auvergne Rhone Alpes;Savoie
8;2007;6;Schuco;S 325 PP;1;SMA;Sunny Boy 2100TL;1950;16;25;VIVRECO;2010;48.59;6.52;France;54300;Chanteheux;Grand Est;Meurthe et Moselle
2;2009;14;Solon AG;P220 / 6+ (210W);1;SMA;Sunny Boy 3000;2940;23;20;Rolhion Energie;3279;45.91;3.05;France;63140;Chatel Guyon;Auvergne Rhone Alpes;Puy de Dome
1;2008;20;Kyocera;KC 130TM/GT;1;SMA;Sunny Boy 2500;2600;20;30;Forclum (Ets RIVET, St Jean d'Y);3212;46.09; 0.9;France;17290;Forges;Aquitaine Limousin Poitou Charentes;Charente Maritime
1;2010;12;SUNTECH;STP 175S 24/Ac;1;SMA;Sunny Boy 2100TL;2100;16;35;EDF ENR;2964;43.67;3.72;France;34570;Vailhauques;Languedoc Roussillon Midi Pyrenees;Herault
4;2008;12;TRINA SOLAR;TSM 170D;1;SMA;Sunny Boy 2100TL;2040;16;30;SUNNCO;2482;44.89; 0.66;France;33185;Eysines;Aquitaine Limousin Poitou Charentes;Gironde
3;2008;14;Sanyo;HIP 210 NKHE5;1;Sputnik;SOLARMAX 3000C;2940;18;40;ENR SYSTEMS;2828;50.69;2.85;France;59850;Nieppe;Nord Pas de Calais Picardie;Nord
7;2003;12;BP Solar;BP585L Saturn;1;SMA;Sunny Boy 1100 (;1020;8;30;Pi energies;1131;45.25;5.59;France;38360;Noyarey;Auvergne Rhone Alpes;Isere
3;2008;14;CONERGY;C 175 M;1;CONERGY;WR 2300;2450;18;15;NTD Provence;3287;43.54;5.29;France;13122;Ventabren;Provence Alpes Cote d'Azur;Bouches du Rhone
2;2007;34;Schott;ASE 100 GT FT/100;1;SMA;Sunny Boy 4200 TL;3400;38;15;"Non renseign&eacute;";4702;43.52;6.87;France;83600;Frejus;Provence Alpes Cote d'Azur;Var
6;2008;18;Schuco;S 175 SP 3;1;SMA;Sunny Boy 2800;3150;24;45;Facilasol;3339;48.48; 2.73;France;22950;Tregueux;Bretagne;Cotes d'Armor
5;2008;12;Sanyo;HIP 210 NKHE1;1;Fronius;IG 20;2520;16;20;FL Energie;2735;45.27;4.49;France;42220;Saint Sauveur en Rue;Auvergne Rhone Alpes;Loire
4;2008;14;Solarwatt;M220 60 GET AK (212);1;SMA;Sunny Boy 3000;2968;24;20;CMEE Genoudet;3422;43.55;2.18;France;81290;Viviers les Montagnes;Languedoc Roussillon Midi Pyrenees;Tarn
9;2007;29;Kyocera;KC 200GHT 2;1;SMA;Sunny Boy 5000 TL;5800;38;45;ENR SYSTEMS;5907;50.31;3.52;France;59300;Famars;Nord Pas de Calais Picardie;Nord
7;2008;24;Photowatt;PW 1000 / 110W;1;Photowatt;PWI 6 40 I;2640;22;30;Moulin Jean michel;2982;46.03;4.1;France;42120;Perreux;Auvergne Rhone Alpes;Loire
8;2010;48;YOCASOL;PCA 200;3;Power One;Aurora PVI 3.0;9600;72;20;BS AUTOMATION;10838;45.77;4.02;France;42130;Arthun;Auvergne Rhone Alpes;Loire
12;2007;15;Kyocera;KC 200GT;1;Sputnik;SOLARMAX 3000C;3000;21;35;ENR SYSTEMS;3019;50.39;3.11;France;59500;Douai;Nord Pas de Calais Picardie;Nord
5;2007;18;Schott;ASE 165 GT FT/MC/170;1;SMA;Sunny Boy 3300;3060;24;15;AMISOLAIRE;4314;43.52;6.86;France;83600;Frejus;Provence Alpes Cote d'Azur;Var
6;2008;18;CONERGY;A 165 P;1;Total Energie;GridFit 2500;2970;24;35;SADEJA SOLAIRE;3582;45.76;5.01;France;69330;Meyzieu;Auvergne Rhone Alpes;Rhone
6;2007;24;Kyocera;KC 130 GHT 2;1;ABB;UNO 3.0 TL OUTD;3120;22;30;EPB Gacon Jacky;3656;45.1;5.72;France;38800;Champagnier;Auvergne Rhone Alpes;Is�re
9;2017;26;AlfaSolar;alfasolar 250 P;2;EFFEKTA;ES1000;6500;40;60;"Moi m&amp;ecirc;me";6549;49.04;2.12;France;95310;Saint Ouen l'Aumone;Ile de France;Val d'Oise
2;2008;8;Schuco;S 175 SP 3;1;SMA;Sunny Boy 1100E;1400;10;25;ENERCOS technologies;1379;45.73;4.88;France;69008;Lyon;Auvergne Rhone Alpes;Rhone
2;2008;24;Schuco;S 300 PM 4;3;Siemens;Sinvert Solar 100;7200;66;30;BSP;10462;43.86;4.68;France;13150;Boulbon;Provence Alpes Cote d'Azur;Bouches du Rhone
2;2008;18;Solara;S 861 TI;1;SMA;Sunny Boy 3300 TL;2898;24;20;Ne merite plus d'etre cite;3522;43.45;0.93;France;32220;Puylausic;Languedoc Roussillon Midi Pyrenees;Gers
5;2007;48;Photowatt;PW6 BIPV1 / 125W;2;SMA;Sunny Boy 3000TL;6000;45;20;hairionelec et DiagEnergies;7032;43.91;1.96;France;81600;Rivieres;Languedoc Roussillon Midi Pyrenees;Tarn
6;2008;14;Biohaus;Biosol 190 P;1;SMA;Sunny Boy 2500;2660;19;35;ENRGERIC;2850;48.77;2.07;France;78280;Guyancourt;Ile de France;Yvelines
5;2008;16;Mitsubishi;PV MF175 TD4;1;Schuco;SGI 2500;2800;21;20;Cervin Env;3252;43.56;2.2;France;81290;Viviers les Montagnes;Languedoc Roussillon Midi Pyrenees;Tarn
6;2008;14;Tenesol;TE 2000/200 Poly;1;Tenesol;Energrid EG 2500;2800;21;20;Solaris enr;3131;45.8;4.71;France;69890;La Tour de Salvagny;Auvergne Rhone Alpes;Rhone
8;2008;10;Roto Frank;SPR 10/20 280 (272Wc);1;SMA;Sunny Boy 2500;2720;20;45;Solariis Normandie;2898;49.7;0.37;France;76400;Tourville les Ifs;Normandie;Seine Maritime
4;2008;18;Canadian Solar;CS5 165;1;Mastervolt;SunMaster QS 3500;2970;22;15;Helio Therma;3720;43.24;2.69;France;11700;Castelnau d'Aude;Languedoc Roussillon Midi Pyrenees;Aude
8;2007;20;Solar Fabrik;SF 130/2 130;1;Sputnik;SOLARMAX 3000C;2600;20;30;Solar Savoies;2922;46.39;6.52;France;74500;Publier;Auvergne Rhone Alpes;Haute Savoie
3;2008;12;Kyocera;KC 200GHT 2;1;Sputnik;SOLARMAX 3000C;2400;24;20;ENR Atlantique;2670;47.19; 1.43;France;44115;Haute Goulaine;Pays de la Loire;Loire Atlantique
8;2007;24;Schuco;S 175 SP 3;1;Schuco;SGI 2500;4200;40;20;Helio Therma;4329;42.87;2.18;France;11500;Quillan;Languedoc Roussillon Midi Pyrenees;Aude
2;2009;14;Sanyo;HIP 210 NKHE1;1;SMA;Sunny Boy 3300 TL;2940;18;30;ECOSOL Energie;3009;49.24;6.2;France;57300;Ay sur Moselle;Alsace Champagne Ardenne Lorraine;Moselle
5;2008;24;SHARP;ND 162 E1F;1;SMA;Sunny Boy 3300 TL;3888;32;20;"Sol&eacute;a";5261;43.7;3.79;France;34980;Saint Gely du Fesc;Languedoc Roussillon Midi Pyrenees;Herault
9;2007;14;Sanyo;HIP 215 NKHE1;1;SMA;Sunny Boy 2800;3010;22;20;MECOTECH;3633;43.51;1.51;France;31320;Castanet Tolosan;Occitanie;Haute Garonne
3;2008;18;Canadian Solar;CS5A 170M;1;Mastervolt;SunMaster QS 3500;3060;23;20;Helio Therma;3742;43.50;3.37;France;34720;Caux;Languedoc Roussillon Midi Pyrenees;Herault
12;2007;63;Mitsubishi;PV MF175 TD4;4;SMA;Sunny Boy 2500;11025;81;15;Cervin Enr;13360;45.06;4.88;France;26600;Mercurol;Auvergne Rhone Alpes;Drome
12;2007;12;Sanyo;HIP 210 NKHE5;1;SMA;Sunny Boy 3300 TL;2520;15;45;WATTSOL FR;0;50.58;2.78;France;62840;Neuve Chapelle;Nord Pas de Calais Picardie;Pas de Calais
6;2008;36;Imerys;Solardachziegel (50 Wc);1;SMA;Sunny Boy 1700;1800;18;30;ECOLOGGIA;1738;49.02;6.65;France;57380;Guessling Hemering;Alsace Champagne Ardenne Lorraine;Moselle
5;2007;8;Schuco;S 310 PM 4;1;SMA;Sunny Boy 2500;2480;20;20;CRESTEY Energie Renouvelable;2763;43.62;1.25;France;31820;Pibrac;Languedoc Roussillon Midi Pyrenees;Haute Garonne
9;2007;20;Sanyo;HIP 215 NKHE5;1;SMA;Sunny Boy 4200 TL;4300;25;30;SIDEC;4694;47.46; 0.50;France;49124;Saint Barthelemy d'Anjou;Pays de la Loire;Maine et Loire
2;2008;8;Roto Frank;SPR 10/20 280 (272Wc);1;SMA;Sunny Boy 2100TL;2176;16;20;SPER;2468;45.62;4.04;France;42600;Montbrison;Auvergne Rhone Alpes;Loire
5;2008;21;Kyocera;FL130T 1A;1;SMA;Sunny Boy 2500;2730;22;30;Thermi Confort;2832;47.05; 0.90;France;49300;Cholet;Pays de la Loire;Maine et Loire
10;2007;16;CONERGY;C 125 PL;1;SMA;Sunny Boy 2100TL;2000;16;25;NTD Provence;2947;43.38;5.23;France;13180;Gignac la Nerthe;Provence Alpes Cote d'Azur;Bouches du Rhone
9;2007;24;Photowatt;PW6 / 110W Compact;1;Photowatt;PWI 6 40 I;2640;22;25;Grad Elec;2938;47.15; 1.01;France;49600;Saint Philbert en Mauges;Pays de la Loire;Maine et Loire
6;2007;23;Solar Fabrik;SF 130/2 130;1;Sputnik;SOLARMAX 3000C;2990;21;30;KBE Solaire;3364;45.16;5.83;France;38410;Saint Martin d'Uriage;Auvergne Rhone Alpes;Isere
12;2007;18;SHARP;NE 165 U1;1;Mastervolt;SunMaster QS 3500;2970;23;20;Helio Therma;4027;43.40;3.65;France;34200;Sete;Languedoc Roussillon Midi Pyrenees;Herault
6;2007;8;KIOTO;KPV ME 250;8;Enphase Energy;M215 60 230 S22;2000;13;25;Vivreco+PlacementSolaire;2053;48.66;6.26;France;54510;Art sur Meurthe;Grand Est;Meurthe et Moselle
11;2007;14;Total Energie;TE 2000/210W Mono;1;Tenesol;Connectis EI 1900;2940;23;25;ENR SYSTEMS;0;50.53;2.64;France;62400;Bethune;Nord Pas de Calais Picardie;Pas de Calais
12;2006;20;Solar Fabrik;SF 115;1;CONERGY;WR 2300;2300;25;30;PIE ENERGIES;2680;45.22;5.68;France;38120;Saint Egr�ve;Auvergne Rhone Alpes;Is�re
4;2008;10;Schuco;S 320 PM 2;1;SMA;Sunny Boy 3000;3200;23;25;SYS ENR;3376;48.64;2.24;France;91460;Marcoussis;Ile de France;Essonne
4;2005;14;Tenesol;TE 2000/200 Mono;1;Tenesol;Energrid EG 2500;2800;21;25;ESE;3431;43.61;1.32;France;31770;Colomiers;Languedoc Roussillon Midi Pyrenees;Haute Garonne
9;2007;10;Sanyo;HIP 215 NKHE5;1;SMA;Sunny Boy 2100TL;2150;13;40;SEROL Bernard;0;46.05;4.05;France;42153;Riorges;Auvergne Rhone Alpes;Loire
11;2002;24;BP Solar;BP585L Saturn;1;SMA;Sunny Boy 1700;2040;0;20;APEX Energies (ex BP Solar);0;43.71;7.11;France;6140;Vence;Provence Alpes Cote d'Azur;Alpes Maritimes
5;2007;24;SHARP;NE Q7E3E;1;Fronius;IG 40 4100W;4008;28;15;DELANNOY Robin;5421;43.97;4.68;France;30650;Rochefort du Gard;Languedoc Roussillon Midi Pyrenees;Gard
8;2007;24;Kyocera;KC 130 GHT 2;1;Fronius;IG 30;3120;22;20;http://www.marseille energierenouvelable;4458;43.94;5.01;France;84740;Velleron;Provence Alpes Cote d'Azur;Vaucluse
7;2010;45;Imerys;Solardachziegel (60 Wc);1;SMA;Sunny Boy 2500;2700;25;25;A l Eau Solaire;3169;45.67;5.14;France;38290;Satolas et Bonce;Auvergne Rhone Alpes;Isere
2;2008;56;Solarcentury;PV C21 M52D/2;1;Fronius;IG 30;2912;22;40;HELAS Solutions solaires;0;48.92;2.24;France;92700;Colombes;Ile de France;Hauts de Seine
2;2008;18;SHARP;ND 162 E1F;1;Fronius;IG 30;2916;24;20;TRAMONTANA;3891;43.28;2.90;France;11120;Mirepeisset;Languedoc Roussillon Midi Pyrenees;Aude
11;2008;16;TRINA SOLAR;TSM 175D;1;KACO;Powador 2500 xi;2800;21;20;R. LEPARGNEUR;3269;45.64;5.00;France;69780;Saint Pierre de Chandieu;Auvergne Rhone Alpes;Rhone
12;2008;14;SHARP;NU 180E1;1;Fronius;IG 30;2520;18;45;rohant solaire;0;49.83;3.29;France;2100;Saint Quentin;Nord Pas de Calais Picardie;Aisne
11;2007;12;SOLVIS;picotop PT802;1;SMA;Sunny Boy 2100TL;1920;15;30;"Lajambe Fran&ccedil;ois";2158;46.83;4.35;France;71710;Marmagne;Bourgogne Franche Comte;Saone et Loire
10;2007;21;Kyocera;KC 130 GHT 2;1;Fronius;IG 30;2730;19;15;Panosol;3200;43.90;1.44;France;82370;Villebrumier;Languedoc Roussillon Midi Pyrenees;Tarn et Garonne
