12;2520;15;45;0;1;50.58;2.78;12;2007;WATTSOL FR;Sunny Boy 3300 TL;HIP-210 NKHE5;1090
36;1800;18;30;1738;1;49.02;6.65;6;2008;ECOLOGGIA;Sunny Boy 1700;Solardachziegel (50 Wc);1092
8;2480;20;20;2763;1;43.62;1.25;5;2007;CRESTEY Energie Renouvelable;Sunny Boy 2500;S 310-PM-4;1093
20;4300;25;30;4694;1;47.46;-0.50;9;2007;SIDEC;Sunny Boy 4200 TL;HIP-215 NKHE5;1094
8;2176;16;20;2468;1;45.62;4.04;2;2008;SPER;Sunny Boy 2100TL;SPR 10/20 280 (272Wc);1095
21;2730;22;30;2832;1;47.05;-0.90;5;2008;Thermi Confort;Sunny Boy 2500;FL130T-1A;1096
16;2000;16;25;2947;1;43.38;5.23;10;2007;NTD Provence;Sunny Boy 2100TL;C 125 PL;1098
24;2640;22;25;2938;1;47.15;-1.01;9;2007;Grad Elec;PWI-6-40-I;PW6 / 110W Compact;1099
23;2990;21;30;3364;1;45.16;5.83;6;2007;KBE Solaire;SOLARMAX 3000C;SF 130/2-130;1100
18;2970;23;20;4027;1;43.40;3.65;12;2007;Helio Therma;SunMaster QS 3500;NE-165 U1;1101
8;2000;13;25;2053;8;48.66;6.26;6;2007;Vivreco+PlacementSolaire;M215-60-230-S22;KPV ME 250;1102
14;2940;23;25;0;1;50.53;2.64;11;2007;ENR SYSTEMS;Connectis EI 1900;TE 2000/210W Mono;1103
20;2300;25;30;2680;1;45.22;5.68;12;2006;PIE ENERGIES;WR 2300;SF 115;1104
10;3200;23;25;3376;1;48.64;2.24;4;2008;SYS ENR;Sunny Boy 3000;S 320-PM-2;1105
14;2800;21;25;3431;1;43.61;1.32;4;2005;ESE;Energrid EG 2500;TE 2000/200 Mono;1106
10;2150;13;40;0;1;46.05;4.05;9;2007;SEROL Bernard;Sunny Boy 2100TL;HIP-215 NKHE5;1107
24;2040;0;20;0;1;43.71;7.11;11;2002;APEX Energies (ex BP Solar);Sunny Boy 1700;BP585L Saturn;1108
24;4008;28;15;5421;1;43.97;4.68;5;2007;DELANNOY Robin;IG 40 4100W;NE-Q7E3E;1109
24;3120;22;20;4458;1;43.94;5.01;8;2007;http://www.marseille-energierenouvelable;IG 30;KC 130 GHT-2;1110
45;2700;25;25;3169;1;45.67;5.14;7;2010;A l Eau Solaire;Sunny Boy 2500;Solardachziegel (60 Wc);1111
56;2912;22;40;0;1;48.92;2.24;2;2008;HELAS Solutions solaires;IG 30;PV-C21-M52D/2;1112
18;2916;24;20;3891;1;43.28;2.90;2;2008;TRAMONTANA;IG 30;ND-162 E1F;1113
16;2800;21;20;3269;1;45.64;5.00;11;2008;R. LEPARGNEUR;Powador 2500 xi;TSM-175D;1114
14;2520;18;45;0;1;49.83;3.29;12;2008;rohant solaire;IG 30;NU-180E1;1115
12;1920;15;30;2158;1;46.83;4.35;11;2007;"Lajambe Fran&ccedil;ois";Sunny Boy 2100TL;picotop PT802;1116
21;2730;19;15;3200;1;43.90;1.44;10;2007;Panosol;IG 30;KC 130 GHT-2;1117
14;2800;21;40;2793;1;46.79;4.85;5;2008;Evasol;Energrid EG 2500;TE 2000/200 Mono;1118
6;1950;16;35;0;1;47.97;6.45;6;2007;La Veille Montagne;Sunny Boy 1700;S 325-PP;1121
21;2310;21;45;2279;1;48.76;7.86;3;2003;HELIOVOLT;20270 E;SM110;1123
14;1708;21;45;0;1;47.48;-2.26;3;2009;Librelec;Sunny Boy 1100;Arsolar 122W Simple;1124
25;3000;25;25;2944;1;45.42;4.32;10;2008;R.LEPARGNEUR;PWI-6-40-I;PW6-123 / 120W;1125
14;2940;18;20;3805;1;43.63;4.81;8;2008;SCIC Tout Naturellement Solidaires;Sunny Boy 2800;HIP-210 NKHE1;1127
16;2800;21;30;0;1;45.30;5.00;1;2009;EDF ENR;Sunny Boy 2500;SF 175 M5-24 (175 wc);1128
